scenario,method,p95_fct_ms,p99_fct_ms,mean_fct_ms,slo_violation_pct,link_utilization_pct,queue_occupancy_pct,packet_loss_pct,jain_fairness,route_churn_pct,intervention_success_pct,harmful_action_pct,rollback_pct,source_localization_pct,telemetry_overhead_pct,inference_latency_ms,counterfactual_mape_pct
leaf_spine_mixed,ECMP,10.345938204479973,13.833051284971695,3.746509632365262,11.65,65.91241887378415,33.16746890443655,0.030170215670001284,0.8907660181900235,0.0,0.0,0.0,0.0,0.0,0.3549786564083684,0.20244393697013546,
leaf_spine_mixed,Static-TE,8.533971313204587,12.79219135155793,3.1374614835769448,6.105555555555555,63.388811224966695,29.678050239409608,0.017465956940179085,0.8972736444896736,1.8308333333333333,81.85466739443035,18.145332605569656,0.0,81.85466739443035,0.535015321418905,0.4002453470218577,
leaf_spine_mixed,Correlation-ML,10.762007558998157,17.458030024553782,3.277511317467735,8.922222222222222,60.80959686628681,28.192358592091992,0.03368499621336134,0.8935427650957422,9.508888888888889,72.03832911165355,27.961670888346454,0.0,72.03832911165355,1.4813734086223613,2.90106938962489,21.50301772611144
leaf_spine_mixed,DRL,7.872509554606039,14.43486377262479,2.6068454165867463,4.922222222222222,55.41142379884652,22.19535796313873,0.018098085475405288,0.9015233063755743,12.255555555555556,79.16695686425065,20.833043135749346,0.0,79.16695686425065,1.783774174108129,4.851698615665059,17.984612910764284
leaf_spine_mixed,Twin-No-Causal,3.820332254264158,7.503322347239693,1.8968253709470666,0.9666666666666667,47.97907053570819,14.489426341777284,0.0028564167881142944,0.9155271716706224,8.006222222222222,85.75356480618026,10.117357826686414,4.129077367133329,85.08895202996744,2.085404742030709,5.73514477770708,12.625030657907915
leaf_spine_mixed,CausalNetTwin,1.8822170119601944,2.1865103933014143,1.5642158114708344,0.0,34.76889952805811,5.013244938579046,1.759955154065357e-06,0.9280460678100779,3.929333333333333,99.44294602606602,0.03513985789535464,0.5219141160386238,93.91337259508215,2.645908574017261,7.20394279067494,7.033158056350184
fat_tree_allreduce,ECMP,12.165121767220983,16.42086483846069,4.2390863009911435,14.344444444444443,67.77647360600707,35.65604364391096,0.0443765880114486,0.8925090796145168,0.0,0.0,0.0,0.0,0.0,0.3549786564083684,0.20244393697013546,
fat_tree_allreduce,Static-TE,10.634705240914105,16.44188618256394,3.6296009661871627,8.972222222222223,65.48474733414061,32.30794820822448,0.030895685905886372,0.8979362689203292,1.9397222222222221,81.85725749410499,18.14274250589501,0.0,81.85725749410499,0.5527983513961984,0.4663318623469532,
fat_tree_allreduce,Correlation-ML,13.213487312075854,22.150724374716948,3.851833594281052,11.394444444444444,63.05185622770867,30.98212142770342,0.05408031010988963,0.8930474873906995,9.987777777777778,72.08949923337455,27.910500766625443,0.0,72.08949923337455,1.4479144744136685,2.9154830555132842,22.26099568427255
fat_tree_allreduce,DRL,9.742076586915099,18.084261303046294,2.981070204001211,6.483333333333333,57.50544691761629,24.48888863628937,0.028705766574798928,0.9014981124261053,12.86111111111111,79.17783132175133,20.822168678248662,0.0,79.17783132175133,1.7666778125641218,4.77874773135482,18.609841851423877
