scenario,topology,method,seed,p95_fct_ms,p99_fct_ms,mean_fct_ms,slo_violation_pct,link_utilization_pct,queue_occupancy_pct,packet_loss_pct,jain_fairness,route_churn_pct,intervention_success_pct,harmful_action_pct,rollback_pct,source_localization_pct,telemetry_overhead_pct,inference_latency_ms,counterfactual_mape_pct,actions_proposed,actions_accepted,actions_rejected
leaf_spine_mixed,leaf-spine,ECMP,0,10.41324383465594,14.248068199109833,3.736540920753913,10.166666666666666,66.65680726473603,33.53442961736806,0.028197002944897454,0.8914187781865004,0.0,0.0,0.0,0.0,0.0,0.30896878281982015,0.2239202269943526,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,1,9.785089134220934,12.43862122623332,3.7034409163334847,10.333333333333334,65.3421592741287,32.78314210887749,0.02519482370999745,0.8894761541773148,0.0,0.0,0.0,0.0,0.0,0.3150444199520287,0.2013033008777889,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,2,8.2476565438807,10.727643494520594,3.3065768730619953,6.333333333333334,64.84048825013986,30.873090827000226,0.014698525119576861,0.8954732037030287,0.0,0.0,0.0,0.0,0.0,0.4454760081449894,0.06123906205465164,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,3,11.165342143376899,14.372592528394105,4.037717506138518,13.833333333333334,67.81096503109904,35.10353508896113,0.03771538560904079,0.8897461364966948,0.0,0.0,0.0,0.0,0.0,0.4037549016802325,-0.08551247947036833,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,4,9.386106713027841,13.228338299761743,3.5899316782551858,8.166666666666666,66.68442211778328,32.85733869968507,0.022731613356423607,0.8942971483177227,0.0,0.0,0.0,0.0,0.0,0.2897938546648061,0.13041515509832188,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,5,10.914157648203703,13.875671944663289,3.760959692239586,12.833333333333332,65.39940599268255,33.24936858639816,0.03185023763697525,0.8891787184153841,0.0,0.0,0.0,0.0,0.0,0.3957907426292494,0.4225456994349839,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,6,10.987995969118309,15.059922808136655,4.009224244936436,13.833333333333334,66.34331217498591,34.350076996509024,0.03717407699361845,0.887216846813895,0.0,0.0,0.0,0.0,0.0,0.3550603480337473,0.24553708275176234,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,7,7.7323362697478215,12.264623400527356,3.1351521859811875,4.166666666666666,61.61666312572503,28.311527154038203,0.01418514020981005,0.8943718105740983,0.0,0.0,0.0,0.0,0.0,0.264695059363675,0.3020139698534989,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,8,11.878045684904869,15.579699134180483,3.9869753864746538,14.666666666666666,66.05944603992407,34.464659760002235,0.04190651004479724,0.887231710225143,0.0,0.0,0.0,0.0,0.0,0.2847962619916642,0.21115290117035265,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,9,10.834316833470584,13.412880109870603,3.8943223384441876,15.0,66.72405573434183,34.22346083605336,0.034394481778614185,0.8900649548262973,0.0,0.0,0.0,0.0,0.0,0.4197990109457914,0.05370787977697358,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,10,9.162479994817359,11.730896835612665,3.300578510041934,8.166666666666666,63.32619886340352,30.090057867182633,0.01870846852716591,0.8939145035624294,0.0,0.0,0.0,0.0,0.0,0.2895991789037453,0.299159893698165,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,11,10.543710164458862,14.40710420514469,3.7914996202585325,11.833333333333334,67.0274570363207,33.97929337354494,0.030997121479166483,0.8915852666408791,0.0,0.0,0.0,0.0,0.0,0.26703093653995885,0.38912999908799917,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,12,10.470949975334934,13.260783560584398,3.898648974553912,16.0,66.84276289008632,34.03588432937513,0.033713216149508694,0.8905657984852864,0.0,0.0,0.0,0.0,0.0,0.49090477857501114,0.20585997547297616,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,13,10.591531030109085,13.512354154137197,3.9625845662018584,14.000000000000002,67.45597997469534,34.65799753883999,0.033526519074281974,0.8898416510498671,0.0,0.0,0.0,0.0,0.0,0.44841130502656007,0.13115494192805666,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,14,10.870273030203796,14.832381788751306,3.866124230335544,13.0,66.89354189748072,33.925537922767305,0.03496375980201421,0.8910161659822227,0.0,0.0,0.0,0.0,0.0,0.3396447885154092,0.27486617769801025,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,15,9.916815643121542,13.171051924032652,3.9813082292828303,14.000000000000002,68.64356955313552,35.68825666925607,0.03017066822593528,0.8909257865622855,0.0,0.0,0.0,0.0,0.0,0.2189757438948316,-0.09507644689844258,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,16,10.265998496757213,14.408069741985072,3.662363681576051,11.166666666666666,64.86323478553031,32.321291988473526,0.02894124006999681,0.890167506513345,0.0,0.0,0.0,0.0,0.0,0.5460303638224074,0.4707954866565188,,0,0,0
leaf_spine_mixed,leaf-spine,ECMP,17,11.9462729226714,17.611460494528504,3.884164902469806,10.166666666666666,63.70869566255125,32.09974113462989,0.041287422633580914,0.8859324170575497,0.0,0.0,0.0,0.0,0.0,0.31637612372681456,0.3237908644967131,,0,0,0
